Competition Title,Competition Date,FIRST,LAST,Nation,StartNr,Rank,Qualification,Qualification 1,Qualification 2,Semifinal,Final,Points,Category
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Lucka,RAKOVEC,SLO,222.0,1,,"50+1.,50+1.,50+1.,50+1.","44 2.,44 2.,44 2.,44 2.",39,46+,1.73,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Laura,ROGORA,ITA,234.0,2,,"16+24.,16+24.,16+24.,16+24.","36+7.,36+7.,36+7.,36+7.",39+,45+,15.62,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Luce,DOUADY,FRA,229.0,3,,"48+3.,48+3.,48+3.,48+3.","30+15.,30+15.,30+15.,30+15.",38+,43,7.83,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Mina,MARKOVIC,SLO,237.0,4,,"16+24.,16+24.,16+24.,16+24.","36+7.,36+7.,36+7.,36+7.",43+,42+,15.62,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Jessica,PILZ,AUT,213.0,5,,"46+5.,46+5.,46+5.,46+5.","42+3.,42+3.,42+3.,42+3.",38+,42,3.87,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Tina Johnsen,HAFSAAS,NOR,216.0,6,,"38+11.,38+11.,38+11.,38+11.","30 21.,30 21.,30 21.,30 21.",40+,39,16.39,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Tjasa,KALAN,SLO,201.0,7,,"16+24.,16+24.,16+24.,16+24.","39+4.,39+4.,39+4.,39+4.",40+,22+,11.05,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Anak,VERHOEVEN,BEL,203.0,8,,"50+1.,50+1.,50+1.,50+1.","Top1.,Top1.,Top1.,Top1.",46,21+,1.22,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Camille,POUGET,FRA,206.0,9,,"39 9.,39 9.,39 9.,39 9.","30+15.,30+15.,30+15.,30+15.",38,,12.89,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Anne-Sophie,KOLLER,SUI,217.0,10,,"38+11.,38+11.,38+11.,38+11.","30+15.,30+15.,30+15.,30+15.",38,,14.79,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Mia,KRAMPL,SLO,230.0,11,,"46 6.,46 6.,46 6.,46 6.","37+5.,37+5.,37+5.,37+5.",37+,,5.74,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Molly,THOMPSON-SMITH,GBR,235.0,12,,"48+3.,48+3.,48+3.,48+3.","35+10.,35+10.,35+10.,35+10.",37+,,6.48,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Nika,POTAPOVA,UKR,209.0,13,,"16+24.,16+24.,16+24.,16+24.","30+15.,30+15.,30+15.,30+15.",37,,23.1,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Nolwenn,ARC,FRA,220.0,14,,"16+24.,16+24.,16+24.,16+24.","35+10.,35+10.,35+10.,35+10.",36+,,19.13,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Michelle,HULLIGER,SUI,225.0,14,,"16+24.,16+24.,16+24.,16+24.","35+10.,35+10.,35+10.,35+10.",36+,,19.13,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Katherine,CHOONG,SUI,215.0,16,,"16+24.,16+24.,16+24.,16+24.","30+15.,30+15.,30+15.,30+15.",36+,,23.1,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Vanda,MICHALKOVA,SVK,214.0,17,,"39 9.,39 9.,39 9.,39 9.","35+10.,35+10.,35+10.,35+10.",36,,10.68,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Lynn,VAN DER MEER,NED,227.0,18,,"39+7.,39+7.,39+7.,39+7.","36+7.,36+7.,36+7.,36+7.",35+,,7.75,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Nina,ARTHAUD,FRA,232.0,19,,"24+21.,24+21.,24+21.,24+21.","27+23.,27+23.,27+23.,27+23.",35+,,21.98,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Julia,FISER,AUT,224.0,20,,"39+7.,39+7.,39+7.,39+7.","21 25.,21 25.,21 25.,21 25.",35,,13.96,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Christine,SCHRANZ,AUT,205.0,21,,"38+11.,38+11.,38+11.,38+11.","37+5.,37+5.,37+5.,37+5.",34+,,8.29,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Hannah,SCHUBERT,AUT,208.0,22,,"16+24.,16+24.,16+24.,16+24.","35+10.,35+10.,35+10.,35+10.",32+,,19.13,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Claudia,GHISOLFI,ITA,231.0,23,,"25+18.,25+18.,25+18.,25+18.","30 21.,30 21.,30 21.,30 21.",27+,,19.94,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Anna,ZAIKINA,RUS,218.0,24,,"37+15.,37+15.,37+15.,37+15.","30+15.,30+15.,30+15.,30+15.",24+,,16.2,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Noa,SHIRAN,ISR,211.0,25,,"35+16.,35+16.,35+16.,35+16.","14+30.,14+30.,14+30.,14+30.",21+,,22.09,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Daria,VERETENINA,RUS,223.0,26,,"38+11.,38+11.,38+11.,38+11.","26+24.,26+24.,26+24.,26+24.",18,,17.32,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Emma Stöver,WOLLEBAEK,NOR,219.0,27,,"25 20.,25 20.,25 20.,25 20.","17 29.,17 29.,17 29.,17 29.",,,24.08,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Jennifer,WOOD,GBR,204.0,28,,"30+17.,30+17.,30+17.,30+17.","12+32.,12+32.,12+32.,12+32.",,,24.22,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Ingrid,KINDLIHAGEN,NOR,212.0,29,,"25+18.,25+18.,25+18.,25+18.","12+32.,12+32.,12+32.,12+32.",,,25.26,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Natalia,KALUCKA,POL,228.0,30,,"23+23.,23+23.,23+23.,23+23.","14+30.,14+30.,14+30.,14+30.",,,26.49,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Michaela,SMETANOVA,CZE,210.0,31,,"24 22.,24 22.,24 22.,24 22.","12+32.,12+32.,12+32.,12+32.",,,27.55,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Joanna,NEAME,GBR,200.0,32,,"16+24.,16+24.,16+24.,16+24.","21 25.,21 25.,21 25.,21 25.",,,28.16,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Olesya,PROSEKOVA,RUS,226.0,32,,"16+24.,16+24.,16+24.,16+24.","21 25.,21 25.,21 25.,21 25.",,,28.16,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Ilaria,SCOLARIS,ITA,207.0,34,,"16+24.,16+24.,16+24.,16+24.","19+28.,19+28.,19+28.,19+28.",,,29.22,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Lisa-Marie,KVANDAHL,NOR,236.0,35,,"16+24.,16+24.,16+24.,16+24.","12+32.,12+32.,12+32.,12+32.",,,32.44,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Eliska,NOVOTNA,CZE,233.0,35,,"16+24.,16+24.,16+24.,16+24.","12+32.,12+32.,12+32.,12+32.",,,32.44,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Veronika,SCHEUEROVA,CZE,202.0,35,,"16+24.,16+24.,16+24.,16+24.","12+32.,12+32.,12+32.,12+32.",,,32.44,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Adam,ONDRA,CZE,301.0,1,,"Top1.,Top1.,Top1.,Top1.","31+2.,31+2.,31+2.,31+2.",38+,45+,3.71,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Alberto,GINÉS LÓPEZ,ESP,337.0,2,,"Top1.,Top1.,Top1.,Top1.","31+2.,31+2.,31+2.,31+2.",35+,38+,3.71,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Sascha,LEHMANN,SUI,340.0,3,,"42+5.,42+5.,42+5.,42+5.","32+1.,32+1.,32+1.,32+1.",35+,34+,2.24,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Martin,BERGANT,SLO,334.0,4,,"37+10.,37+10.,37+10.,37+10.","25+25.,25+25.,25+25.,25+25.",34+,34+,16.43,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Nimrod,MARCUS,ISR,326.0,5,,"29+21.,29+21.,29+21.,29+21.","29+12.,29+12.,29+12.,29+12.",35+,28+,17.81,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,James,POPE,GBR,341.0,6,,"31+14.,31+14.,31+14.,31+14.","26+23.,26+23.,26+23.,26+23.",35,23+,18.46,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Jakob,SCHUBERT,AUT,324.0,7,,"Top1.,Top1.,Top1.,Top1.","29 16.,29 16.,29 16.,29 16.",35+,23,6.32,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Luka,POTOCAR,SLO,311.0,8,,"40+8.,40+8.,40+8.,40+8.","29+12.,29+12.,29+12.,29+12.",35+,19,10.71,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,William,BOSI,GBR,329.0,9,,"30+17.,30+17.,30+17.,30+17.","31+2.,31+2.,31+2.,31+2.",33+,,10.09,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Fedir,SAMOILOV,UKR,307.0,10,,"41+6.,41+6.,41+6.,41+6.","29+12.,29+12.,29+12.,29+12.",31+,,9.37,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Martin,STRANIK,CZE,319.0,11,,"34 12.,34 12.,34 12.,34 12.","31+2.,31+2.,31+2.,31+2.",29+,,8.29,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Mathias,POSCH,AUT,335.0,12,,"27+30.,27+30.,27+30.,27+30.","27+20.,27+20.,27+20.,27+20.",29+,,25.0,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Dmitrii,FAKIRYANOV,RUS,323.0,13,,"34 12.,34 12.,34 12.,34 12.","29+12.,29+12.,29+12.,29+12.",27,,12.99,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Davide Marco,COLOMBO,ITA,338.0,14,,"29+21.,29+21.,29+21.,29+21.","28+17.,28+17.,28+17.,28+17.",27,,20.57,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Hamish,MCARTHUR,GBR,330.0,15,,"29+21.,29+21.,29+21.,29+21.","31+2.,31+2.,31+2.,31+2.",26+,,11.37,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Yannick,FLOHÉ,GER,309.0,16,,"41+6.,41+6.,41+6.,41+6.","31+2.,31+2.,31+2.,31+2.",26,,5.98,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Sebastian,HALENKE,GER,332.0,17,,"40+8.,40+8.,40+8.,40+8.","31+2.,31+2.,31+2.,31+2.",26,,6.84,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,David,BARRANS,GBR,333.0,18,,"30+17.,30+17.,30+17.,30+17.","30+10.,30+10.,30+10.,30+10.",26,,13.94,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Alistair,DUVAL,FRA,342.0,19,,"31 16.,31 16.,31 16.,31 16.","31+2.,31+2.,31+2.,31+2.",23,,9.38,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Nao,MONCHOIS,FRA,300.0,20,,"31+14.,31+14.,31+14.,31+14.","27+20.,27+20.,27+20.,27+20.",18+,,17.24,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Yuval,SHEMLA,ISR,303.0,21,,"29+21.,29+21.,29+21.,29+21.","28+17.,28+17.,28+17.,28+17.",18+,,20.57,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Romain,DESGRANGES,FRA,306.0,22,,"Top1.,Top1.,Top1.,Top1.","30+10.,30+10.,30+10.,30+10.",16+,,5.12,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Jan,HOJER,GER,322.0,23,,"36+11.,36+11.,36+11.,36+11.","23 33.,23 33.,23 33.,23 33.",16+,,19.05,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Stepan,VOLF,CZE,308.0,24,,"30+17.,30+17.,30+17.,30+17.","25+25.,25+25.,25+25.,25+25.",16+,,22.35,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Alfons,DORNAUER,AUT,313.0,25,,"30+17.,30+17.,30+17.,30+17.","21 34.,21 34.,21 34.,21 34.",16+,,25.08,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Mark,BRAND,NED,327.0,26,,"29+21.,29+21.,29+21.,29+21.","28+17.,28+17.,28+17.,28+17.",16,,20.57,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Sergei,LUZHETSKII,RUS,339.0,27,,"28+27.,28+27.,28+27.,28+27.","26+23.,26+23.,26+23.,26+23.",,,25.42,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Bittor,ESPARTA FRADE,ESP,325.0,28,,"28+27.,28+27.,28+27.,28+27.","23+30.,23+30.,23+30.,23+30.",,,29.2,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Sven,LEMPEREUR,BEL,331.0,29,,"27 32.,27 32.,27 32.,27 32.","25+25.,25+25.,25+25.,25+25.",,,29.39,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Francesco,VETTORATA,ITA,310.0,30,,"28 29.,28 29.,28 29.,28 29.","23+30.,23+30.,23+30.,23+30.",,,29.98,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Max,RUDIGIER,AUT,336.0,31,,"17+38.,17+38.,17+38.,17+38.","27 22.,27 22.,27 22.,27 22.",,,30.03,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Thomas,JOANNES,FRA,317.0,32,,"29+21.,29+21.,29+21.,29+21.","12+37.,12+37.,12+37.,12+37.",,,30.66,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Mischa,RADT,NED,316.0,33,,"24 34.,24 34.,24 34.,24 34.","23+30.,23+30.,23+30.,23+30.",,,32.47,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Leto,CAVÉ,NED,312.0,34,,"27+30.,27+30.,27+30.,27+30.","15 36.,15 36.,15 36.,15 36.",,,33.14,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Matthias,SCHIESTL,AUT,320.0,35,,"17+38.,17+38.,17+38.,17+38.","25+25.,25+25.,25+25.,25+25.",,,33.27,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Martin,TEKLES,GER,321.0,35,,"17+38.,17+38.,17+38.,17+38.","25+25.,25+25.,25+25.,25+25.",,,33.27,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Kieran,FORREST,GBR,315.0,37,,"26 33.,26 33.,26 33.,26 33.","20 35.,20 35.,20 35.,20 35.",,,33.99,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Šimon,POTŮČEK,CZE,304.0,38,,"21+35.,21+35.,21+35.,21+35.","12+37.,12+37.,12+37.,12+37.",,,37.42,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Nikola,KRAMARIC,CRO,328.0,39,,"18 36.,18 36.,18 36.,18 36.","12+37.,12+37.,12+37.,12+37.",,,38.21,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Matthaios,VALSAMIDIS,GRE,314.0,39,,"18 36.,18 36.,18 36.,18 36.","12+37.,12+37.,12+37.,12+37.",,,38.21,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Sébastien,BERTHE,BEL,318.0,41,,"17+38.,17+38.,17+38.,17+38.","12+37.,12+37.,12+37.,12+37.",,,40.5,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Dmitrii,POPOV,RUS,343.0,41,,"17+38.,17+38.,17+38.,17+38.","12+37.,12+37.,12+37.,12+37.",,,40.5,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Mykhayil,TKACHUK,UKR,302.0,41,,"17+38.,17+38.,17+38.,17+38.","12+37.,12+37.,12+37.,12+37.",,,40.5,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,Albert,ILSAAS SUTHURST,NOR,344.0,44,,"17+38.,17+38.,17+38.,17+38.","9+44.,9+44.,9+44.,9+44.",,,42.71,lead
"European Championship (L,S) - Edinburgh (GBR) 2019",4  - 6 October 2019,John-Philip,NOEL-BAKER,GRE,305.0,45,,"15+45.,15+45.,15+45.,15+45.","9+44.,9+44.,9+44.,9+44.",,,44.75,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Chaehyun,SEO,KOR,33.0,1,Top1.,,"29+5.,29+5.,29+5.,29+5.",38,34.5+,6.48,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Jessica,PILZ,AUT,4.0,2,Top1.,,"29+5.,29+5.,29+5.,29+5.",34+,34.5,6.48,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Lucka,RAKOVEC,SLO,44.0,3,36+14.,,"29+5.,29+5.,29+5.,29+5.",38+,34+,9.33,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Anak,VERHOEVEN,BEL,8.0,4,Top1.,,"35+3.,35+3.,35+3.,35+3.",34+,34+,4.58,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Ai,MORI,JPN,28.0,5,Top1.,,"Top1.,Top1.,Top1.,Top1.",38+,20+,2.65,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Natsumi,HIRANO,JPN,24.0,6,Top1.,,"27+8.,27+8.,27+8.,27+8.",37+,20+,8.37,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Mia,KRAMPL,SLO,41.0,7,Top1.,,"32+4.,32+4.,32+4.,32+4.",34+,20+,5.29,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Mei,KOTAKE,JPN,27.0,8,Top1.,,"23 19.,23 19.,23 19.,23 19.",34+,20+,11.68,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Jain,KIM,KOR,30.0,9,Top1.,,"21+24.,21+24.,21+24.,21+24.",34+,,13.36,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Tjasa,KALAN,SLO,40.0,10,Top1.,,"17 29.,17 29.,17 29.,17 29.",34+,,14.25,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Lana,SKUSEK,SLO,45.0,11,30 22.,,"23+15.,23+15.,23+15.,23+15.",34+,,19.27,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Laura,ROGORA,ITA,23.0,12,36+14.,,"27+8.,27+8.,27+8.,27+8.",30,,12.04,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Janja,GARNBRET,SLO,39.0,13,Top1.,,"39+2.,39+2.,39+2.,39+2.",27+,,3.74,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Kyra,CONDIE,USA,54.0,14,29 31.,,"27+8.,27+8.,27+8.,27+8.",25+,,17.61,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Mina,MARKOVIC,SLO,43.0,15,Top1.,,"27+8.,27+8.,27+8.,27+8.",20+,,8.37,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Ashima,SHIRAISHI,USA,58.0,16,Top1.,,"19+28.,19+28.,19+28.,19+28.",20+,,14.0,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Nolwenn,ARC,FRA,12.0,17,29+24.,,"23+15.,23+15.,23+15.,23+15.",20+,,21.11,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Julia,FISER,AUT,1.0,17,29+24.,,"23+15.,23+15.,23+15.,23+15.",20+,,21.11,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Katherine,CHOONG,SUI,47.0,19,33+17.,,"21+24.,21+24.,21+24.,21+24.",20+,,21.72,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Elnaz,REKABI,IRI,20.0,20,34 16.,,"13+35.,13+35.,13+35.,13+35.",20+,,23.83,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Fanny,GIBERT,FRA,14.0,21,29+24.,,"22+21.,22+21.,22+21.,22+21.",20+,,24.37,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Anne-Sophie,KOLLER,SUI,49.0,22,29+24.,,"26 14.,26 14.,26 14.,26 14.",20,,19.44,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Futaba,ITO,JPN,26.0,23,29+24.,,"26+13.,26+13.,26+13.,26+13.",17+,,18.73,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Yuki,HIROSHIGE,JPN,25.0,24,33+17.,,"23+15.,23+15.,23+15.,23+15.",17,,17.47,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Heloïse,DOUMONT,BEL,7.0,25,33+17.,,"27+8.,27+8.,27+8.,27+8.",16+,,13.6,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Nika,POTAPOVA,UKR,53.0,26,Top1.,,"8+47.,8+47.,8+47.,8+47.",13,,18.33,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Molly,THOMPSON-SMITH,GBR,16.0,27,29+24.,,"22+21.,22+21.,22+21.,22+21.",13,,24.37,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Vanda,MICHALKOVA,SVK,50.0,28,31+21.,,"15+30.,15+30.,15+30.,15+30.",,,25.31,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Honoka,MORIWAKI,JPN,29.0,29,29+24.,,"21+24.,21+24.,21+24.,21+24.",,,26.24,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Michelle,HULLIGER,SUI,48.0,30,30 22.,,"15 32.,15 32.,15 32.,15 32.",,,27.04,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Eva Maria,HAMMELMÜLLER,AUT,2.0,31,23+36.,,"23 19.,23 19.,23 19.,23 19.",,,27.4,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Sandra,LETTNER,AUT,3.0,32,28+32.,,"21+24.,21+24.,21+24.,21+24.",,,28.57,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Viktoriia,MESHKOVA,RUS,37.0,33,23+36.,,"22+21.,22+21.,22+21.,22+21.",,,29.1,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Lynn,VAN DER MEER,NED,34.0,34,33+17.,,"5+51.,5+51.,5+51.,5+51.",,,31.02,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Sol,SA,KOR,32.0,35,26+33.,,"15+30.,15+30.,15+30.,15+30.",,,31.73,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Hannah,SCHUBERT,AUT,6.0,36,25+34.,,"12+38.,12+38.,12+38.,12+38.",,,36.18,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Claudia,GHISOLFI,ITA,21.0,37,23+36.,,"13+35.,13+35.,13+35.,13+35.",,,36.97,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Elena,KRASOVSKAYA,RUS,36.0,38,23+36.,,"12+38.,12+38.,12+38.,12+38.",,,38.5,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Afra,HÖNIG,GER,18.0,39,19+44.,,"14+34.,14+34.,14+34.,14+34.",,,39.33,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Alex,JOHNSON,USA,56.0,40,18+49.,,"15 32.,15 32.,15 32.,15 32.",,,40.11,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Michaela,SMETANOVA,CZE,10.0,41,23+36.,,"11+41.,11+41.,11+41.,11+41.",,,40.45,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Lucija,TARKUS,SLO,46.0,41,23+36.,,"11+41.,11+41.,11+41.,11+41.",,,40.45,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Lan,KIM,KOR,31.0,43,24+35.,,"8+47.,8+47.,8+47.,8+47.",,,40.99,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Anna,ZAIKINA,RUS,38.0,44,23 42.,,"11+41.,11+41.,11+41.,11+41.",,,42.25,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Emily,PHILLIPS,GBR,15.0,45,20+43.,,"11+41.,11+41.,11+41.,11+41.",,,42.75,lead
IFSC Climbing Worldcup (L) - Kranj (SLO) 2019 ,28  - 29 September 2019,Alma,BESTVATER,GER,17.0,46,19 48.,,"12 40.,12 40.,12 40.,12 40.",,,43.82,lead
